object,ch,prop,frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,10,0.833236932755,,0.98038226366,0.767122387886,,,0.754064202309,,0.572165369987,0.746425807476,0.605743229389,0.703816115856,,,0.586652994156,,0.660761594772,0.806571722031,0.530332624912,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,11,0.83827406168,,0.873027563095,0.837973356247,,,0.777089416981,,0.551047921181,0.764336824417,0.550415039062,0.643911838531,,,0.374178797007,,0.660534083843,0.772407710552,0.609377801418,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,12,,,0.838993966579,0.776162862778,,,0.747025609016,,0.61698102951,0.986528337002,0.705280840397,0.793407320976,,,,,0.656077265739,0.811058521271,0.974036455154,0.539108037949,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,13,,,0.97250264883,0.76075398922,,,0.799923181534,,0.978093624115,0.983568370342,0.582508563995,,,,,,0.640673160553,,0.982890725136,,0.645944833755,0.816204190254,0.852113246918,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,14,,,0.827440619469,0.768441140652,,,0.72246080637,,0.644884824753,0.991776645184,0.635493576527,,,,,,0.708027243614,,0.882962822914,,0.627597808838,0.879816234112,0.785963535309,0.619834005833,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,15,,,0.971894264221,0.770549178123,,,0.750797629356,,0.280851185322,0.99137878418,0.619030416012,,,,,,0.589440822601,,0.835412561893,,0.546543955803,0.898588240147,,,0.74133592844,0.780534029007,0.751924693584,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,16,,,0.988107979298,0.8097255826,,,0.755894839764,,0.361954957247,0.388654917479,0.601240038872,,,,,,,,0.860849797726,,0.359445303679,0.837843537331,,,0.773411810398,0.745721697807,0.696255385876,0.499869793653,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,17,,,0.978814959526,0.797272503376,,,0.781733632088,,0.372353732586,0.959895849228,0.725866854191,,,,,,,,0.827518641949,,0.691807746887,0.91702491045,,,0.667122721672,0.849180161953,0.858378648758,0.585523724556,,,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,18,,,0.964671134949,0.849175751209,,,0.573095977306,,0.566943109035,0.985655963421,0.607265233994,,,,,,,,0.855841755867,,0.671756088734,0.856184959412,,,,0.424505650997,,0.462427586317,0.452052235603,0.744724333286,
nuc,/home/data/HeLa/Set0_2/processed/*,eccentricity,19,,,0.851500213146,0.781881690025,,,0.72887802124,,0.469899058342,0.990165650845,0.643933653831,,,,,,,,0.829574525356,,0.754784703255,0.876258671284,,,,0.783885300159,,,0.463527560234,0.685729503632,0.580605208874
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,0,33.8497314453,24.8455123901,39.3810119629,30.7797851562,21.2631015778,22.4260292053,32.5184822083,29.9615154266,29.0513725281,30.0444545746,31.9626979828,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,1,32.3184432983,25.7690830231,143.43838501,31.3189373016,20.3526077271,22.128162384,33.6597175598,163.710754395,139.99432373,33.2930984497,36.554851532,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,2,39.6693115234,,101.653945923,34.1811027527,,,32.0008506775,,27.3305721283,31.040594101,36.0816993713,29.6424560547,22.663143158,25.2977676392,23.5806827545,34.3712272644,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,3,40.002696991,,253.487548828,32.0457305908,,,33.9953689575,,27.5043964386,27.5211582184,33.8754272461,26.9762115479,21.8126182556,25.9527301788,26.2237548828,32.9770202637,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,4,38.1638641357,,38.6808357239,37.8985862732,,,37.6044998169,,25.5378875732,28.7844429016,32.9911575317,29.9898509979,21.9331932068,24.9757022858,27.9724178314,33.6691818237,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,5,42.0775489807,,37.8784751892,34.7476348877,,,39.451675415,,28.4487190247,31.14103508,33.5963554382,31.1994304657,25.4959983826,23.1113147736,27.2868900299,34.1448402405,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,6,41.761592865,,231.311538696,34.1053886414,,,34.0938949585,,31.0882472992,31.3205394745,35.2692108154,33.6218643188,25.5817508698,22.8503189087,26.7461471558,33.3990707397,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,major_axis_length,7,44.5973167419,,41.9590148926,35.0591011047,,,33.8189353943,,28.8633918762,34.0634918213,34.6990242004,30.9633731842,25.4382686615,27.3192195892,26.2981452942,31.0469512939,,,,,,,,,,,,,,,
